date,mean_21_before,value,mean_21_after
2025-03-09,67023.80952380953,75000.0,65714.28571428571
2025-03-10,67261.90476190476,80000.0,65000.0
2025-08-19,66965.98666666666,75000.0,78095.23809523809
2025-08-20,67411.56476190477,75714.29,78299.31952380952
2025-08-21,67901.36095238096,76428.57,78469.38761904761
2025-08-22,68435.3742857143,77142.86,78605.4419047619
2025-08-23,69013.60571428572,77857.14,78707.48285714287
2025-08-24,69625.85047619048,78571.43,78775.51
2025-08-25,70272.10904761904,79285.71,78809.52380952382
2025-08-26,70952.38095238095,80000.0,78809.52380952382
2025-08-27,71666.66666666667,78333.33,78888.88904761904
2025-08-28,72267.57333333333,76666.67,79047.61904761905
2025-08-29,72755.1019047619,75000.0,79285.71428571429
2025-08-30,73129.25142857143,75714.29,79549.31952380952
2025-08-31,73503.40142857144,76428.57,79838.43523809525
2025-09-01,73877.55095238096,77142.86,80153.06095238095
2025-09-02,74251.70095238097,77857.14,80493.19714285716
2025-09-03,74625.85047619048,78571.43,80731.29238095238
2025-09-04,75113.37904761906,79285.71,80867.34714285715
2025-09-05,75714.28571428571,80000.0,80901.36095238096
2025-09-06,76428.57142857142,80000.0,80867.34714285715
2025-09-07,77023.80952380951,80000.0,80765.30619047619
2025-09-08,77500.0,80000.0,80595.23809523809
2025-09-09,77857.14285714286,80000.0,80357.14285714286
2025-09-10,78095.23809523809,80000.0,80375.0
2025-09-11,78299.31952380952,80000.0,80394.73684210527
2025-09-12,78469.38761904761,80000.0,80416.66666666667
2025-09-13,78605.4419047619,80000.0,80441.17647058824
2025-09-14,78707.48285714287,80000.0,80468.75
2025-09-15,78775.51,80000.0,80500.0
2025-09-16,78809.52380952382,80000.0,80535.71428571429
2025-09-17,78809.52380952382,80000.0,80576.92307692308
2025-09-18,78888.88904761904,80000.0,80625.0
2025-09-19,79047.61904761905,80000.0,80681.81818181818
2025-09-20,79285.71428571429,81250.0,80625.0
2025-09-21,79549.31952380952,82500.0,80416.66666666667
2025-09-22,79838.43523809525,83750.0,80000.0
2025-09-23,80153.06095238095,85000.0,79285.71428571429
2025-09-24,80493.19714285716,83571.43,78571.42833333333
2025-09-25,80731.29238095238,82142.86,77857.142
2025-09-26,80867.34714285715,80714.29,77142.85500000001
2025-09-27,80901.36095238096,79285.71,76428.57
2025-09-28,80867.34714285715,77857.14,75714.285
2025-09-29,80765.30619047619,76428.57,75000.0
2025-09-30,80595.23809523809,75000.0,
