Ngày,price_wholesale,pct_change,mean_21_before,mean_21_after,magnitude
2024-09-09,12400.0,0.31355932203389836,11490.0,11709.52380952381,medium
2024-09-11,14000.0,0.39165009940357853,11438.0,11859.047619047618,medium
2024-09-14,13640.0,0.2513761467889908,11667.692307692309,11776.190476190477,small
2024-09-18,15000.0,0.31118881118881125,11789.411764705883,11533.333333333334,medium
2024-09-19,11100.0,-0.26,11967.777777777777,11535.238095238095,small
2024-09-22,11600.0,0.20082815734989645,11775.238095238095,11704.761904761905,small
2024-09-24,11600.0,0.23142250530785557,11666.666666666666,11681.904761904761,small
2024-09-25,15500.0,0.3362068965517242,11636.190476190477,11610.47619047619,medium
2024-09-26,10420.0,-0.327741935483871,11707.619047619048,11657.142857142857,medium
2024-09-28,12100.0,0.22718052738336714,11610.47619047619,11709.52380952381,small
2024-10-02,15000.0,0.2295081967213115,11811.42857142857,11548.57142857143,small
2024-10-03,11700.0,-0.21999999999999997,11859.047619047618,11510.47619047619,small
2024-10-09,14000.0,0.4492753623188406,11580.952380952382,11753.333333333334,major
2024-10-10,11140.0,-0.2042857142857143,11533.333333333334,11726.666666666666,small
2024-10-11,13640.0,0.22441651705565535,11535.238095238095,11672.380952380952,small
2024-10-16,14000.0,0.3513513513513513,11681.904761904761,11938.095238095239,medium
2024-10-23,15000.0,0.43403441682600374,11548.57142857143,12018.095238095239,major
2024-10-24,10900.0,-0.2733333333333333,11548.57142857143,12060.952380952382,small
2024-10-29,13640.0,0.31153846153846154,11492.380952380952,11937.142857142857,medium
2024-10-31,10580.0,-0.31741935483870964,11753.333333333334,12063.809523809523,medium
2024-11-06,15000.0,0.2396694214876034,11890.47619047619,11954.285714285714,small
2024-11-07,10460.0,-0.30266666666666664,11938.095238095239,11981.904761904761,medium
2024-11-13,16000.0,0.3913043478260869,11970.47619047619,12197.142857142857,medium
2024-11-14,11800.0,-0.26249999999999996,12018.095238095239,12109.52380952381,small
2024-11-18,9180.0,-0.2375415282392026,12147.619047619048,12253.333333333334,small
2024-11-20,17000.0,0.6283524904214559,11937.142857142857,12275.238095238095,major
2024-11-21,11740.0,-0.3094117647058824,12008.57142857143,12322.857142857143,medium
2024-11-23,13000.0,0.3429752066115703,11929.52380952381,12430.47619047619,medium
2024-11-27,17500.0,0.49063032367972736,11835.238095238095,12266.666666666666,major
2024-11-28,11040.0,-0.3691428571428571,11954.285714285714,12269.52380952381,medium
2024-12-04,18000.0,0.5332197614991483,12101.904761904761,11713.333333333334,major
2024-12-05,9960.0,-0.44666666666666666,12197.142857142857,11772.380952380952,major
2024-12-11,17000.0,0.5596330275229358,12275.238095238095,11200.952380952382,major
2024-12-12,12740.0,-0.25058823529411767,12275.238095238095,11084.761904761905,small
2024-12-17,10700.0,-0.23242467718794835,12735.238095238095,10743.809523809523,small
2024-12-19,11100.0,0.27586206896551735,12266.666666666666,10996.190476190477,small
2025-01-05,12300.0,0.2551020408163265,10876.190476190477,12042.857142857143,small
2025-01-11,12100.0,0.24742268041237114,10948.57142857143,12257.142857142857,small
2025-01-15,15000.0,0.28205128205128216,11122.857142857143,12142.857142857143,small
2025-01-16,10400.0,-0.30666666666666664,11311.42857142857,12142.857142857143,medium
2025-01-22,15000.0,0.2195121951219512,11483.809523809523,11871.42857142857,small
2025-02-05,13000.0,0.25,12238.095238095239,10364.761904761905,small
2025-02-19,13000.0,0.771117166212534,11051.42857142857,10445.714285714286,major
2025-02-20,7740.0,-0.4046153846153846,11084.761904761905,10576.190476190477,major
2025-02-22,10860.0,0.39588688946015416,10623.809523809523,10627.619047619048,medium
2025-02-26,13500.0,0.47702407002188174,10340.952380952382,10710.47619047619,major
2025-02-27,10440.0,-0.22666666666666668,10364.761904761905,10660.952380952382,small
2025-02-28,13500.0,0.2931034482758621,10366.666666666666,10400.952380952382,small
2025-03-01,7780.0,-0.4237037037037037,10423.809523809523,10529.52380952381,major
2025-03-02,9600.0,0.2339331619537275,10256.190476190477,10569.52380952381,small
2025-03-05,13500.0,0.4867841409691629,9911.42857142857,10653.333333333334,major
2025-03-06,8780.0,-0.3496296296296296,10066.666666666666,10610.47619047619,medium
2025-03-12,14000.0,0.24555160142348753,10398.095238095239,10600.952380952382,small
2025-03-13,10480.0,-0.25142857142857145,10445.714285714286,10665.714285714286,small
2025-03-15,8580.0,-0.22980251346499103,10736.190476190477,10762.857142857143,small
2025-03-17,11360.0,0.25110132158590304,10573.333333333334,10831.42857142857,small
2025-03-20,9400.0,-0.27692307692307694,10710.47619047619,11012.380952380952,small
2025-03-22,10480.0,0.3034825870646767,10400.952380952382,11149.52380952381,medium
2025-03-24,7980.0,-0.23563218390804597,10569.52380952381,11362.857142857143,small
2025-03-25,10500.0,0.3157894736842106,10561.904761904761,11424.761904761905,medium
2025-03-26,14000.0,0.33333333333333326,10629.52380952381,11377.142857142857,medium
2025-03-27,7880.0,-0.43714285714285717,10653.333333333334,11563.809523809523,major
2025-03-29,11740.0,0.25695931477516054,10570.47619047619,11586.666666666666,small
2025-04-02,14500.0,0.38623326959847026,10577.142857142857,11196.190476190477,medium
2025-05-06,11440.0,0.20930232558139528,10949.52380952381,11028.57142857143,small
2025-07-08,9340.0,-0.20170940170940166,11238.095238095239,11267.619047619048,small
2025-07-09,12000.0,0.2847965738758029,11176.190476190477,11221.904761904761,small
2025-08-06,8660.0,-0.20550458715596331,11262.857142857143,11063.809523809523,small
2025-09-07,12700.0,0.27,11254.285714285714,11374.285714285714,small
